Intercept y y2s y3s y4s x x2s x3s x4s w w2s w3s w4s quantile type sex
-25.4400 2.7183 -3.2535 13.5284 -4.0414 0.4210 -0.0070 0.0038 0.0396 -0.0469 0.3676 -0.6261 0.2792 0.25 dia M
-22.8873 2.5652 -3.2543 13.6720 -3.1603 0.4141 -0.0056 -0.0066 0.0583 -0.0566 0.3787 -0.6382 0.2747 0.26 dia M
-20.7911 2.6849 -3.4699 14.9131 -5.2628 0.3921 -0.0042 -0.0150 0.0686 -0.0663 0.3974 -0.6642 0.2789 0.27 dia M
-18.5570 2.4292 -3.0989 12.2737 1.0228 0.3937 -0.0045 -0.0121 0.0655 -0.0730 0.4005 -0.6670 0.2770 0.28 dia M
-17.5306 2.5085 -3.1093 11.7413 3.3022 0.3838 -0.0047 -0.0090 0.0598 -0.0637 0.3744 -0.6243 0.2595 0.29 dia M
-14.3488 2.3673 -3.0068 11.4653 3.7471 0.3712 -0.0040 -0.0129 0.0679 -0.0681 0.3759 -0.6244 0.2561 0.3 dia M
-16.6395 2.3516 -2.9622 11.2382 3.1551 0.3924 -0.0047 -0.0114 0.0678 -0.0675 0.3777 -0.6258 0.2543 0.31 dia M
-10.6475 2.2971 -2.8656 10.1755 7.4446 0.3509 -0.0034 -0.0169 0.0752 -0.0763 0.3958 -0.6548 0.2643 0.32 dia M
-10.0847 2.4662 -2.9361 10.2311 6.9534 0.3368 -0.0033 -0.0182 0.0800 -0.0730 0.3922 -0.6484 0.2607 0.33 dia M
-9.6460 2.4037 -2.8587 10.1710 5.6614 0.3398 -0.0036 -0.0141 0.0709 -0.0667 0.3688 -0.6116 0.2487 0.34 dia M
-5.5000 2.2058 -2.7946 11.4006 -0.0691 0.3246 -0.0030 -0.0129 0.0635 -0.0713 0.3492 -0.5757 0.2310 0.35 dia M
-3.1184 2.0845 -2.7566 11.9122 -2.7527 0.3161 -0.0025 -0.0137 0.0596 -0.0779 0.3470 -0.5661 0.2186 0.36 dia M
-1.8889 1.9380 -2.5612 10.5284 0.4557 0.3178 -0.0027 -0.0100 0.0505 -0.0868 0.3703 -0.6072 0.2401 0.37 dia M
